AnoHecho;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;ActorVial;TipoVehiculoGrupo;ObjetoColision;CondicionVictima;DiaOcurrencia;Rango3horas;ConteoRegistros
2022.0;68190.0;santander;Cimitarra;Rural;Hombre;42.0;Usuario de moto;Usuario de moto;Motocicleta;Motocicleta;Conductor;3.Miércoles;18:00 a 20:59;1.0
2020.0;23660.0;Cordoba;Sahagun;Urbana;Mjer;22.0;Usuario de moto;Usuario de moto;  Motocicleta  ;Transporte individual;Pasajero;7.Domingo;;1.0
2024.0;68682.0;Santander;San Joaquin;Sin Información;Hombre;40.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;7.Domingo;18:00 a 20:59;1.0
2022.0;17001.0;Caldas;Manizales;Urbana;Hombre;88.0;Peatón;Peatón;No Aplica;Transporte individual;Peatón;7.Domingo;;1.0
2022.0;76834.0;Valle Del Cauca;Tulua;Urbana;Mujer;30.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;Conductor;7.Domingo;;1.0
2018.0;68307.0;Santander;Giron;Rural;Hombre;22.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;3.Miércoles;03:00 a 05:59;1.0
2024.0;25035.0;Cundinamarca;Anapoima;Urbana;Hombre;24.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;7.Domingo;03:00 a 05:59;1.0
2023.0;15759.0;Boyaca;Sogamoso;Rural;Hombre;21.0;Usuario de V.Individual;Usuario de vehículo;Transporte Individual;No aplica;Conductor;;;1.0
2023.0;11001.0;Bogota Dc;Bogota;Urbana;Hombre;37.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;3.Miércoles;15:00 a 17:59; 1.0 
2022.0;76130.0;Valle Del Cauca;Candelaria;Urbana;Hombre;78.0;Peatón;Peatón;No Aplica;Motocicleta;Peatón;6.Sábado;;1.0
2017.0;5837.0;Antioquia;Turbo;Rural;Hombre;17.0;Usuario de moto;Usuario de moto;Motocicleta;Motocicleta;Conductor;2.Martes;00:00 a 02:59;1.0
2024.0;8758.0;Atlantico;Soledad;Urbana;Hombre;43.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;3.Miércoles;21:00 a 23:59;1.0
2023.0;15861.0;Boyaca;Ventaquemada;Rural;Mujer;41.0;Peatón;Peatón;No Aplica;Transporte individual;Peatón;6Sábado;03:00 a 05:59;1.0
2022.0;86001.0;Putumayo;Mocoa;Urbana;Hombre;55.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;;  4.Jueves  ;;
2018.0;76001.0;Valle Del Cauca;Cali;Urbana;Hombre;55.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;Conductor;4.Jueves;;1.0
2025.0;13052.0;Bolivar;Arjona;Urbana;Hombre;59.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;1.Lunes;;1.0
2025.0;25368.0;Cundinamarca;Jerusalen;Rural;Hombre;59.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;7.Domingo;;1.0
2023.0;50318.0;Meta;Guamal;Rural;Hombre;45.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;7.Domingo;;1.0
2023.0;13657.0;Bolivar;San Juan Nepomuceno;Rural;Hombre;32.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;7.Domingo;;1.0
2016.0;76001.0;Valle Del Cauca;Cali;Sin Información;Hombre;41.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;Conductor;4.Jueves;;1.0
2016.0;20550.0;Cesar;Pelaya;Rural;Hombre;56.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;Transporte individual;Conductor;6.Sábado;;1.0
2015.0;66001.0;Risaralda;Pereira;Urbana;Hombre;26.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;6.Sábado;;1.0
2015.0;8638.0;Atlantico;Sabanalarga;Urbana;Mujer;68.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;;4.Jueves;06:00 a 08:59;1.0
