FechaHecho;DiaOcurrencia;CodigoMunicipioHecho;Departamento;Municipio;Zona;UsuarioVia;Rango3horas;ConteoRegistros
2016-04-29;5.Viernes;50318.0;Meta;Guamal;Rural;Usuario de V.Individual;;1.0
;5.Viernes;63001.0;Quindio;Armenia;Urbana;Peatón;;1.0
2016-04-29;5.Viernes;63001.0;Quindio;Armenia;Urbana;Usuario de moto;;1.0
2016-04-29;5.Viernes;70221.0;Sucre;Covenas;;Usuario de moto;;1.0
2016-04-29;  5.Viernes  ;70429.0;;Majagual;Rural;Usuario de moto;18:00 a 20:59;1.0
2016-04-29;5.Viernes;73268.0;Tolima;Espinal;Sin Información;Usuario de moto;;1.0
2016-04-29;5.Viernes;76001.0;Valle Del Cauca;Cali;Urbana;Usuario de moto;;2.0
2016-04-29;5.Viernes;76001.0;Valle Del Cauca;Cali;Urbana;Usuario de moto;03:00 a 05:59;1.0
2016-04-29;5.Viernes;85001.0;Casanare;Yopal;Rural;;03:00 a 05:59;2.0
2016-04-29;5.Viernes;85010.0;Casanare;Aguazul;Urbana;Usuario de moto;;1.0
2016-04-30;6.Sábado;5034.0;Antioquia;Andes;Rural;Usuario de moto;21:00 a 23:59;1.0
2016-04-30;6.Sábado;5088.0;Antioquia;Bello;Urbana;Usuario de V.Individual;15:00 a 17:59;1.0
2016-04-30;6.Sábado;5360.0;Antioquia;Itagui;Urbana;Peatón;09:00 a 11:59;1.0
2016-04-30;6.Sábado;8001.0;Atlantico;Barranquilla;Urbana;Peatón;12:00 a 14:59;1.0
2016-04-30;6.Sábado;11001.0;;Bogota;Urbana;Usuario de moto;;2.0
2016-04-30;6.Sábado;13673.0;Bolivar;Santa Catalina;Urbana;Usuario T.Pasajeros;;1.0
2016-04-30;6.Sábao;20710.0;Cesar;San Alberto;Urbana;Peatón;09:00 a 11:59;1.0
2016-04-30;6.Sábado;41001.0;Huila;Neiva;Urbana;Peatón;00:00 a 02:59;1.0
2016-04-30;6.Sábado;41551.0;Huila;Pitalito;Rural;Usuario de moto;15:00 a 17:59;1.0
2016-04-30;6.Sábado;41551.0;Huila;Pitalito;Urbana;Peatón;;1.0
2016-04-30;6.Sábado;47001.0;Magdalena;Santa Marta;Urbana;Peatón;00:00 a 02:59;1.0
