FechaVersion;AnoHecho;MesOCurrencia;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;TipoVehiculoGrupo;ObjetoColision;ConteoRegistros
2024-08-31;2024.0;01.Enero;5887.0;Antioquia;Yarumal;Rural;Mujer;54.0;Usuario de V.Individual;Transporte Individual;No aplica;1.0
2024-08-31;2024.0;01.Enero;5887.0;Antioquia;Yarumal;Urbana;Hombre;41.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5890.0;Antioquia;Yolomo;Urbana;Hombre;47.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;5890.0;Antioquia;Yolombo;Urbana;Hombre;68.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Hombre;6.0;Usuario de bicicleta;Bicicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Hombre;21.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Hombre;25.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;;28.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Hombre;46.0;Peatón;No Aplica;;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Hombre;58.0;Usuario T.Pasajeros;Transporte De Pasajeros;No aplica;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Hombre;61.0;Peatón;No Aplica;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Hombre;67.0;Usuario T.Carga;Transporte De Carga;No aplica;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Hombre;70.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Hombre;83.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;8001.0;Atlantico;Barranquilla;Urbana;Mujer;88.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;8137.0;Atlantico;Campo La Cruz;Urbana;Hombre;43.0;Usuario de moto;Motocicleta;Transporte individual;1.0
;2024.0;;8296.0;Atlantico;Galapa;Urbana;Hombre;35.0;Peatón;No Aplica;Transporte individual;1.0
2024-08-31;2024.0;;8296.0;Atlantico;Galapa;Urbana;Hombre;40.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;8296.0;Atlantico;Galapa;Urbana;Hombre;62.0;Usuario de moto;Motocicleta;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;8573.0;Atlantico;Puerto Colombia;Urbana;Hmbre;23.0;Usuario de moto;Motocicleta;Sin info.;1.0
2024-08-31;2024.0;01.Enero;8573.0;ATLANTICO;Puerto Colombia;Urbana;Hombre;38.0;Usuario de moto;Motocicleta;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;8606.0;Atlantico;Repelon;Urbana;Hombre;23.0;;Motocicleta;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;8634.0;Atlantico;Sabanagrande;Urbana;Hombre;18.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;8638.0;Atlantico;Sabanalarga;Urbana;Hombre;59.0;Usuario de moto;Motocicleta;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;8758.0;Atlantico;Soledad;Urbana;Hombre;38.0;Usuario de moto;Motocicleta;Objeto fijo;
2024-08-31;2024.0;01.Enero;8758.0;Atlantico;Soledad;Urbana;Hombre;56.0;Peatón;No Aplica;Transporte de pasajeros;1.0
2024-08-31;2024.0;01.Enero;-1.0;Departamento Sin Asignar;Municipio Sin Asignar;Sin Información;Hombre;66.0;Peatón;No Aplica;Bicicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;8.0;Usuario de moto;Motocicleta;  Transporte de carga  ;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;;Usuario de bicicleta;Bicicleta;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;11001.0;BOGOTA DC;Bogota;Urbana;Hombre;23.0;Usuario de moto;Motocicleta;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;23.0;Usuario de moto;Motocicleta;Transporte de pasajeros;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;;Urbana;Hombre;23.0;Usuario de moto;Motocicleta;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;25.0;Usuario de bicicleta;Bicicleta;Transporte de pasajeros;1.0
